col,raw_name,unit
crude_oil_average,"Crude oil, average",($/bbl)
crude_oil_brent,"Crude oil, Brent",($/bbl)
crude_oil_dubai,"Crude oil, Dubai",($/bbl)
crude_oil_wti,"Crude oil, WTI",($/bbl)
coal_australian,"Coal, Australian",($/mt)
coal_south_african,"Coal, South African",($/mt)
natural_gas_us,"Natural gas, US",($/mmbtu)
natural_gas_europe,"Natural gas, Europe",($/mmbtu)
liquefied_natural_gas_japan,"Liquefied natural gas, Japan",($/mmbtu)
natural_gas_index,Natural gas index,(2010=100)
cocoa,Cocoa,($/kg)
coffee_arabica,"Coffee, Arabica",($/kg)
coffee_robusta,"Coffee, Robusta",($/kg)
tea_avg_3_auctions,"Tea, avg 3 auctions",($/kg)
tea_colombo,"Tea, Colombo",($/kg)
tea_kolkata,"Tea, Kolkata",($/kg)
tea_mombasa,"Tea, Mombasa",($/kg)
coconut_oil,Coconut oil,($/mt)
groundnuts,Groundnuts,($/mt)
fish_meal,Fish meal,($/mt)
groundnut_oil,Groundnut oil,($/mt)
palm_oil,Palm oil,($/mt)
palm_kernel_oil,Palm kernel oil,($/mt)
soybeans,Soybeans,($/mt)
soybean_oil,Soybean oil,($/mt)
soybean_meal,Soybean meal,($/mt)
rapeseed_oil,Rapeseed oil,($/mt)
sunflower_oil,Sunflower oil,($/mt)
barley,Barley,($/mt)
maize,Maize,($/mt)
sorghum,Sorghum,($/mt)
rice_thai_5,"Rice, Thai 5%",($/mt)
rice_thai_25,"Rice, Thai 25%",($/mt)
rice_thai_a_1,"Rice, Thai A.1",($/mt)
rice_viet_namese_5,"Rice, Viet Namese 5%",($/mt)
wheat_us_srw,"Wheat, US SRW",($/mt)
wheat_us_hrw,"Wheat, US HRW",($/mt)
banana_europe,"Banana, Europe",($/kg)
banana_us,"Banana, US",($/kg)
orange,Orange,($/kg)
beef,Beef,($/kg)
chicken,Chicken,($/kg)
lamb,Lamb,($/kg)
shrimps_mexican,"Shrimps, Mexican",($/kg)
sugar_eu,"Sugar, EU",($/kg)
sugar_us,"Sugar, US",($/kg)
sugar_world,"Sugar, world",($/kg)
tobacco_us_import_u_v,"Tobacco, US import u.v.",($/mt)
logs_cameroon,"Logs, Cameroon",($/cubic meter)
logs_malaysian,"Logs, Malaysian",($/cubic meter)
sawnwood_cameroon,"Sawnwood, Cameroon",($/cubic meter)
sawnwood_malaysian,"Sawnwood, Malaysian",($/cubic meter)
plywood,Plywood,(cents/sheet)
cotton_a_index,"Cotton, A Index",($/kg)
rubber_tsr20,"Rubber, TSR20",($/kg)
rubber_rss3,"Rubber, RSS3",($/kg)
phosphate_rock,Phosphate rock,($/mt)
dap,DAP,($/mt)
tsp,TSP,($/mt)
urea,Urea,($/mt)
potassium_chloride,Potassium chloride,($/mt)
aluminum,Aluminum,($/mt)
iron_ore_cfr_spot,"Iron ore, cfr spot",($/dmtu)
copper,Copper,($/mt)
lead,Lead,($/mt)
tin,Tin,($/mt)
nickel,Nickel,($/mt)
zinc,Zinc,($/mt)
gold,Gold,($/troy oz)
platinum,Platinum,($/troy oz)
silver,Silver,($/troy oz)
