refYear,layer,non_hormuz_usd,hormuz_usd,hormuz_share
2020,ammonia,3821301275.1480002,658115881.776,0.14691998059585187
2020,lpg_butane,8012733659.357,6276184997.927,0.43923442693318265
2020,lpg_propane,20763985118.801,7478592938.583,0.26479852240782703
2020,urea,10339847517.622,3268151292.495,0.24016399017210824
2020,wheat,38749921914.406,12944090.836000001,0.0003339301803496558
2021,ammonia,8195391799.581,1120108245.478,0.12024134400301059
2021,lpg_butane,14972764383.442999,9424171138.199,0.3862850368989589
2021,lpg_propane,38086546827.204,11337991860.822,0.2294000543412019
2021,urea,18023866682.298,5168257957.258,0.22284538556002448
2021,wheat,47840306642.426,23841613.112,0.0004981100464739068
2022,ammonia,14131565774.526,3291838806.152,0.18893200757115775
2022,lpg_butane,17178262447.276,12464594605.058,0.42049234940653507
2022,lpg_propane,44260614951.886,15727660488.041,0.2621789070064345
2022,urea,29638789414.965,8345295397.4470005,0.21970505380506156
2022,wheat,59279187676.751,42108863.883,0.0007098439572060971
2023,ammonia,6778805714.268,1643935903.439,0.19517824219883212
2023,lpg_butane,12995047056.585,10341650112.833,0.44314968985351555
2023,lpg_propane,36760992266.913,13712972755.021,0.2716840800809265
2023,urea,17585030238.907,4427176945.687,0.2011237177880786
2023,wheat,55506410568.19,42878522.867,0.0007719004791710846
2024,ammonia,5806655745.2039995,847479967.307,0.12736138905516786
2024,lpg_butane,12527117196.862,11794524939.445,0.48493949846578416
2024,lpg_propane,41245241405.027,14206499495.696,0.25619573461418177
2024,urea,14684983667.586,3986219461.83,0.213495586449371
2024,wheat,44114551918.855,58102739.849,0.0013153554002566868
2025,ammonia,4986247285.045,664795734.276,0.11764124463449553
2025,lpg_butane,8405666598.505,6327801272.285,0.429484852295382
2025,lpg_propane,21829372481.135002,6092055737.162001,0.21818567766421978
2025,urea,16034309545.92,3841886104.403,0.19329081741759607
2025,wheat,30849796955.426,31208724.504,0.001010612310604994
2026,ammonia,495678121.235,17338685.232,0.03379749944530388
2026,lpg_butane,430902735.969,89952080.145,0.17270087049615013
2026,lpg_propane,1471441533.4290001,65261240.475999996,0.042468356004955375
2026,urea,1153123032.856,329165119.102,0.22206554013617102
2026,wheat,1952797326.688,2.365,1.211083180427585e-09
