year,layer,n_edges,total_value_usd,n_importers_active,n_exporters_active
2020,wheat,1481,38762866005.242004,125,118
2020,ammonia,1054,4479417156.924,124,92
2020,urea,1682,13607998810.117,124,110
2020,lpg_propane,945,28242578057.384003,113,104
2020,lpg_butane,1237,14288918657.284,126,118
2021,wheat,1565,47864148255.537994,122,124
2021,ammonia,1102,9315500045.059,120,98
2021,urea,1777,23192124639.556,121,123
2021,lpg_propane,925,49424538688.02599,112,106
2021,lpg_butane,1233,24396935521.642,118,121
2022,wheat,1542,59321296540.634,124,125
2022,ammonia,1164,17423404580.677998,121,97
2022,urea,1992,37984084812.412,120,130
2022,lpg_propane,954,59988275439.927,114,103
2022,lpg_butane,1238,29642857052.334,120,109
2023,wheat,1475,55549289091.05701,114,127
2023,ammonia,1114,8422741617.706999,114,89
2023,urea,1906,22012207184.594,113,124
2023,lpg_propane,920,50473965021.934,107,96
2023,lpg_butane,1189,23336697169.418,107,103
2024,wheat,1377,44172654658.704,101,124
2024,ammonia,982,6654135712.511001,101,80
2024,urea,1689,18671203129.416,101,119
2024,lpg_propane,888,55451740900.723,92,92
2024,lpg_butane,1066,24321642136.307,98,101
2025,wheat,1091,30881005679.93,80,113
2025,ammonia,807,5651043019.321,78,78
2025,urea,1423,19876195650.322998,79,106
2025,lpg_propane,711,27921428218.296997,75,86
2025,lpg_butane,888,14733467870.79,78,97
2026,wheat,301,1952797329.053,34,63
2026,ammonia,234,513016806.467,33,53
2026,urea,422,1482288151.9580002,33,76
2026,lpg_propane,234,1536702773.905,33,58
2026,lpg_butane,289,520854816.11399996,32,56
