year,layer,n_active,n_communities,modularity,codelength,primary_size,primary_n_hormuz,primary_n_nonH,primary_share_of_H_exports
2020,wheat,153,9,0.44341197660786036,4.894889648686958,30,3,27,0.9807890748643076
2020,ammonia,142,7,0.5443557052511749,4.013283888111408,39,5,34,0.9899143535632541
2020,urea,149,6,0.43285645083993857,4.966140891478931,24,2,22,0.3974351514052458
2020,lpg_propane,141,12,0.4345009287754169,3.9783433666418473,20,5,15,0.9472339189600592
2020,lpg_butane,159,14,0.38118820981430235,4.349113616523167,40,5,35,0.9787128685943567
2021,wheat,158,8,0.477548076089798,4.7617942092303975,37,3,34,0.7783885091927498
2021,ammonia,141,9,0.5403832222745624,4.135875435094193,46,6,40,0.9518181461676777
2021,urea,152,10,0.4152128111296358,5.049813050184097,17,2,15,0.20397816310571854
2021,lpg_propane,147,10,0.4006851043988679,3.9911734832991375,25,5,20,0.9027358702470396
2021,lpg_butane,156,16,0.4381699914617587,4.170944838834695,27,5,22,0.8550556484515363
2022,wheat,151,9,0.5034828955275509,4.719817234546714,43,3,40,0.0032636477294150407
2022,ammonia,138,8,0.46105899584636545,4.435080624777085,39,5,34,0.7004626497557395
2022,urea,146,9,0.3764267903766891,5.227847184591033,42,4,38,0.3976214115864763
2022,lpg_propane,147,10,0.3841396594111889,4.101651820200655,29,7,22,0.9522506399020991
2022,lpg_butane,155,14,0.42329197536465396,4.178830019760746,28,7,21,0.9204403371745769
2023,wheat,150,9,0.489531985337474,4.59988226559611,22,3,19,0.5046556187142731
2023,ammonia,130,8,0.4996186646495318,4.162342962629719,35,4,31,0.6799640839071666
2023,urea,147,6,0.40155143071626004,5.180028241559806,32,4,28,0.48575573125670163
2023,lpg_propane,138,11,0.15749259727594345,4.069657153032362,51,6,45,0.9999605677943317
2023,lpg_butane,135,13,0.47335923224207166,3.907269658536682,20,5,15,0.8980970759426216
2024,wheat,145,8,0.4964254033678044,4.54662880130817,20,2,18,0.3060174718990643
2024,ammonia,117,8,0.5717024047837963,3.879430374830477,32,5,27,0.8762101666669881
2024,urea,142,8,0.4120110073103387,4.996590763945525,33,4,29,0.4631814097012556
2024,lpg_propane,125,10,0.2962976863261081,3.8620969231243074,13,6,7,0.6081789248974107
2024,lpg_butane,134,15,0.44962808352596834,3.7381932428943014,19,5,14,0.8993476486111986
