scenario,scenario_label,layer,n_countries,mean_pct,median_pct,p10_pct,total_dollar_impact,structural_bm
S1_14day,S1: 14-day transient shock,ammonia,98,0.007183894113258005,0.00975372720907388,0.0033562663055161928,20289292.457681447,-0.0022697996293820667
S1_14day,S1: 14-day transient shock,lpg_butane,96,-0.0009456855247444664,0.002773786281885051,-0.0040977595474149765,-635344259.5148418,-0.003362755649847789
S1_14day,S1: 14-day transient shock,lpg_propane,91,0.0001747357199739679,0.004532673460248827,-0.0060937316881319896,-485663297.1577267,-0.004342486051853495
S1_14day,S1: 14-day transient shock,urea,98,0.002833358744078705,0.0073276660303628295,-0.007415664194102187,-59096100.20076323,-0.004275933089956414
S1_14day,S1: 14-day transient shock,wheat,98,0.0054920488771538645,0.005527781137758869,0.00552759971892184,235075799.45150372,-3.175739332023751e-05
S2_45day_rupture,S2: 30-45 day rupture,ammonia,98,0.031139617270279033,0.04363358263477245,0.014222163392816806,78472516.16956888,-0.011288388273270137
S2_45day_rupture,S2: 30-45 day rupture,lpg_butane,96,-0.006757132935954125,0.01226233776981229,-0.01863194380874049,-3625398955.297016,-0.018884368222128554
S2_45day_rupture,S2: 30-45 day rupture,lpg_propane,91,-0.00449436542104859,0.02009799892828949,-0.028516074319235855,-2874576555.502649,-0.02763837871600374
S2_45day_rupture,S2: 30-45 day rupture,urea,98,0.010154007853666755,0.03264572729784789,-0.03604130201177605,-321561645.9320806,-0.022464995475436764
S2_45day_rupture,S2: 30-45 day rupture,wheat,98,0.024391223679092577,0.024551811318365886,0.024550997972931685,1043952304.4398676,-0.00014042952032110667
S3_6month_realignment,S3: 6-month persistent realignment,ammonia,98,0.07741284055675592,0.10407287989908871,0.034092069492212974,223906498.16412178,-0.02437040683138929
S3_6month_realignment,S3: 6-month persistent realignment,lpg_butane,96,-0.006345094689195526,0.028656368089328508,-0.04175324726283468,-5720511649.373703,-0.037560044243985964
S3_6month_realignment,S3: 6-month persistent realignment,lpg_propane,91,0.0057752071029528035,0.04720928773650476,-0.062456687352736,-4524318766.624016,-0.05033007642929009
S3_6month_realignment,S3: 6-month persistent realignment,urea,98,0.031740606726893585,0.07731268002416715,-0.07691700549763404,-577305708.2249159,-0.046564443519333525
S3_6month_realignment,S3: 6-month persistent realignment,wheat,98,0.05745724233960547,0.057838951470096246,0.0578370047308158,2459071812.721817,-0.00032468101109089313
