country,total_dollar,total_base,pct_total
IND,-7630481032.734212,18135139824.834,-0.42075666945148893
CHN,-2512229276.157649,26295694691.0,-0.09553766522158047
THA,-571648955.2773087,3267035237.5550003,-0.17497483611628326
IDN,-340079237.0740057,7447523821.0,-0.04566339702265529
AUS,-283502905.2003934,1695734322.3999999,-0.1671859214355862
SGP,-84781073.91304538,321196305.77900004,-0.2639540753976766
MYS,-78750748.80298318,943680733.385,-0.08345062690906363
PHL,-68803480.66776614,2836002090.0,-0.02426072988816667
ZAF,-33562078.92791344,1337906645.58,-0.025085516271850076
NZL,-30590475.806965355,420737901.08100003,-0.07270672722464361
MWI,-9753360.427823007,32938771.05,-0.2961057779908582
STP,1480.3523224392222,48774.672000000006,0.030350841158690356
ATG,2166.6017951397207,30448.285,0.07115677599377833
PYF,6440.7243880087835,86004.002,0.07488865911157
AND,14047.285334447615,297270.995,0.04725414039956241
MAC,14077.996161319898,274458.543,0.05129370726609118
BOL,34868.306904845536,7390149.0,0.0047182143289459435
MSR,39296.662568070824,831883.0989999999,0.04723820283800576
CPV,189754.04241541427,5038530.215,0.03766059432381796
GRD,281399.38806549413,4941274.007999999,0.05694875200401843
MNE,433297.9681245812,10422539.944,0.041573164550357054
BRB,694438.618056599,14544414.0,0.04774607062591859
EST,1007100.4699747006,16296802.53,0.061797427324825085
ISL,1230062.616905817,21090193.831,0.05832391237190887
MLT,1406177.7125478913,35251539.619,0.039889824040195525
BLZ,1670145.3995850298,33740311.64,0.049499999211774615
TTO,1884636.7380596322,32536738.96,0.05792334444999439
CYP,2088718.4325918525,55880892.662,0.037378043425784754
MDA,2349109.4140543006,44813168.0,0.05242007023592486
MUS,2435303.802353502,122781080.20500001,0.019834520092895623
